Month,State,Confirmed,Deaths
5,Puducherry,2542536,35324
5,Punjab,14977762,364255
5,Rajasthan,25442124,205497
5,Sikkim,348564,6083
5,Tamil Nadu,49482252,557831
5,Telangana,15661753,87012
5,Telengana,490590,3554
5,Tripura,1301676,13621
5,Uttar Pradesh,48338036,528765
5,Uttarakhand,8383210,142828
5,West Bengal,34456751,416524
6,Andaman and Nicobar Islands,57931,959
6,Andhra Pradesh,14069513,92910
6,Arunachal Pradesh,231071,968
6,Assam,3530621,28541
6,Bihar,5879846,43659
6,Cases being reassigned to states,240648,0
6,Chandigarh,494106,6276
6,Chhattisgarh,7866255,105423
6,Dadra and Nagar Haveli,20722,8
6,Dadra and Nagar Haveli and Daman and Diu,64021,24
6,Daman & Diu,2,0
6,Delhi,12816612,241468
6,Goa,1281342,21810
6,Gujarat,7227639,123133
6,Haryana,6314579,71586
6,Himachal Pradesh,1563628,26124
6,Jammu and Kashmir,2520696,33904
6,Jharkhand,2768093,40486
6,Karnataka,21492941,248028
6,Kerala,20797139,76296
6,Ladakh,166771,1570
6,Lakshadweep,67804,289
6,Madhya Pradesh,6588378,79613
6,Maharashtra,49728448,925857
6,Manipur,442994,6832
6,Meghalaya,300472,5069
6,Mizoram,108331,390
6,Nagaland,184476,3257
6,Odisha,6472492,23495
6,Puducherry,865934,12848
6,Punjab,4701779,121308
6,Rajasthan,7939149,77373
6,Sikkim,131990,2113
6,Tamil Nadu,18886883,223026
6,Telangana,4689583,26703
6,Telengana,194444,5220
6,Tripura,462693,4382
6,Uttar Pradesh,13994133,180152
6,Uttarakhand,2715149,53438
6,West Bengal,11588944,142176
7,Andaman and Nicobar Islands,6372,8
7,Andhra Pradesh,1520146,17526
7,Arunachal Pradesh,19775,73
7,Assam,639191,1414
7,Bihar,726921,5279
7,Cases being reassigned to states,67397,0
7,Chandigarh,20413,305
7,Chhattisgarh,155442,764
7,Dadra and Nagar Haveli and Daman and Diu,17784,34
7,Delhi,3560269,106648
7,Goa,98021,587
7,Gujarat,1400765,65342
7,Haryana,734204,10065
7,Himachal Pradesh,46224,350
7,Jammu and Kashmir,390948,6663
7,Jharkhand,158282,1404
7,Karnataka,1705708,32446
7,Kerala,345425,1226
7,Ladakh,35270,61
7,Madhya Pradesh,640411,21604
7,Maharashtra,8774499,342978
7,Manipur,54871,4
7,Meghalaya,11093,82
7,Mizoram,8217,0
7,Nagaland,28526,29
7,Odisha,499757,2538
7,Puducherry,53921,761
7,Punjab,290423,7156
7,Rajasthan,848812,16545
7,Sikkim,8657,4
7,Tamil Nadu,4863048,72814
7,Telengana,1205706,11800
7,Tripura,80944,187
7,Uttar Pradesh,1396403,33074
7,Uttarakhand,133904,1617
7,West Bengal,1178752,32123
8,Andaman and Nicobar Islands,63866,794
8,Andhra Pradesh,8700021,79720
8,Arunachal Pradesh,82912,130
8,Assam,2281592,5846
8,Bihar,3003495,13705
8,Chandigarh,68226,920
8,Chhattisgarh,513726,4435
8,Dadra and Nagar Haveli and Daman and Diu,55535,62
8,Delhi,4724139,129920
8,Goa,345383,3323
8,Gujarat,2410139,85230
8,Haryana,1469141,16660
8,Himachal Pradesh,126203,659
8,Jammu and Kashmir,876217,16515
8,Jharkhand,719086,7428
8,Karnataka,6889574,120206
8,Kerala,1399347,5049
8,Ladakh,60559,468
8,Madhya Pradesh,1407495,34052
8,Maharashtra,18227851,609995
8,Manipur,135066,483
8,Meghalaya,44425,201
8,Mizoram,23052,0
8,Nagaland,97243,236
8,Odisha,1886608,10232
8,Puducherry,242151,3636
8,Punjab,991260,25341
8,Rajasthan,1870371,26682
8,Sikkim,34496,56
8,Tamil Nadu,10309676,174016
8,Telengana,2855205,21261
8,Tripura,233875,1762
